leaf_width	leaf_length	trunk_girth	trunk_height	tree_type
5.13E+00	6.18E+00	8.26E+00	8.74E+00	0
7.49E+00	4.02E+00	8.07E+00	6.78E+00	0
9.22E+00	4.16E+00	5.46E+00	8.45E+00	1
3.46E+00	5.19E+00	8.72E+00	1.04E+01	0
4.55E+00	5.15E+00	9.01E+00	9.64E+00	0
7.64E+00	2.58E+00	9.73E+00	7.75E+00	0
8.69E+00	4.35E+00	4.37E+00	8.82E+00	1
7.21E+00	3.62E+00	8.71E+00	7.43E+00	0
8.52E+00	3.67E+00	5.99E+00	9.70E+00	1
6.61E+00	5.29E+00	6.80E+00	6.07E+00	0
5.70E+00	5.08E+00	8.30E+00	8.10E+00	0
8.15E+00	5.08E+00	5.43E+00	1.05E+01	1
3.31E+00	5.46E+00	9.85E+00	1.04E+01	0
6.50E+00	4.39E+00	9.15E+00	8.29E+00	0
9.31E+00	5.18E+00	5.66E+00	8.93E+00	1
6.07E+00	3.81E+00	9.77E+00	9.44E+00	0
8.78E+00	4.35E+00	4.44E+00	8.85E+00	1
4.12E+00	7.14E+00	7.83E+00	8.16E+00	0
5.10E+00	5.86E+00	8.55E+00	8.37E+00	0
4.70E+00	6.18E+00	9.26E+00	8.09E+00	0
9.01E+00	7.84E+00	3.10E+00	9.07E+00	1
1.01E+01	5.94E+00	6.45E+00	8.39E+00	1
3.01E+00	5.78E+00	9.61E+00	1.06E+01	0
5.56E+00	4.63E+00	9.24E+00	9.44E+00	0
3.67E+00	5.17E+00	9.34E+00	9.81E+00	0
3.64E+00	6.14E+00	8.99E+00	9.09E+00	0
8.92E+00	5.78E+00	5.08E+00	9.39E+00	1
5.84E+00	4.81E+00	8.86E+00	8.05E+00	0
5.41E+00	5.81E+00	7.48E+00	7.84E+00	0
1.00E+01	8.15E+00	4.89E+00	8.69E+00	1
2.06E+00	6.52E+00	9.68E+00	1.04E+01	0
1.10E+01	4.56E+00	7.22E+00	6.97E+00	1
5.27E+00	4.25E+00	8.19E+00	9.16E+00	0
4.31E+00	5.11E+00	1.09E+01	1.06E+01	0
7.48E+00	5.17E+00	7.65E+00	6.13E+00	0
5.75E+00	4.78E+00	8.19E+00	8.02E+00	0
3.97E+00	6.25E+00	7.10E+00	8.14E+00	0
5.51E+00	4.12E+00	1.01E+01	9.38E+00	0
8.12E+00	5.01E+00	2.81E+00	9.33E+00	1
4.37E+00	6.64E+00	7.70E+00	7.72E+00	0
1.01E+01	5.55E+00	5.15E+00	7.42E+00	1
9.20E+00	7.27E+00	4.76E+00	9.44E+00	1
8.63E+00	5.95E+00	4.65E+00	9.68E+00	1
6.72E+00	5.02E+00	7.74E+00	7.16E+00	0
6.23E+00	4.27E+00	8.95E+00	7.94E+00	0
4.66E+00	5.47E+00	9.49E+00	9.13E+00	0
1.06E+01	7.05E+00	5.37E+00	7.60E+00	1
6.90E+00	3.11E+00	8.50E+00	7.86E+00	0
9.01E+00	3.80E+00	4.98E+00	8.48E+00	1
8.53E+00	4.52E+00	5.02E+00	9.58E+00	1
9.40E+00	5.34E+00	5.26E+00	8.64E+00	1
1.03E+01	3.09E+00	6.88E+00	7.04E+00	1
1.01E+01	5.69E+00	4.99E+00	7.61E+00	1
1.01E+01	5.40E+00	5.75E+00	7.94E+00	1
7.07E+00	3.58E+00	8.95E+00	7.79E+00	0
7.67E+00	5.31E+00	3.30E+00	1.03E+01	1
